sites.sitename,lat,lon,mean,stand.age,dominant.veg,scientific.name,variable.name,city,state,country,soil.classification,continent,biogeog,FAO.ecozone
BOREAS NSA-W1930,55.91,-98.51,34.0,68,2TEN,,biomass_ag_C,NAC,Manitoba,Canada,Luvic gleysol (Aqualf),North America,Nearctic,Boreal coniferous forest
BOREAS NSA-W1850; NOBS,55.88,-98.48,31.0,148,2TEN,,biomass_ag_C,NAC,Manitoba,Canada,Luvic gleysol (Aqualf),North America,Nearctic,Boreal coniferous forest
Oak Ridge,35.99,-84.29,0.6,0,2TDB,,biomass_ag_C,Oak Ridge,Tennessee,USA,Emory cherty silt loam,North America,Nearctic,Temperate mountain system
Oak Ridge,35.99,-84.29,162.5,55,2TDB,,biomass_ag_C,Oak Ridge,Tennessee,USA,Emory cherty silt loam,North America,Nearctic,Temperate mountain system
Duke FACE,36.07,-79.1,51.28,15,2TEN,,biomass_ag_C,NAC,North Carolina,USA,Ultic alfisol,North America,Nearctic,Subtropical humid forest
Euskirchen_2006_cfia research site in Michigan USA,46.0,-88.0,2.1,13,2TEN,,biomass_ag_C,NAC,Michigan,USA,Rubicon series sand,North America,Nearctic,Temperate continental forest
BOREAS SSA-OBS,53.99,-105.12,55.0,118,2TEN,,biomass_ag_C,NAC,Saskatchewan,Canada,Clay-sand,North America,Nearctic,Boreal coniferous forest
BOREAS SSA-OBS,53.99,-105.12,66.95,98,2TEN,,biomass_ag_C,NAC,Saskatchewan,Canada,Clay-sand,North America,Nearctic,Boreal coniferous forest
BOREAS SSA-OBS,53.99,-105.12,50.3,128,2TEN,,biomass_ag_C,NAC,Saskatchewan,Canada,Clay-sand,North America,Nearctic,Boreal coniferous forest
Manaus,-2.58,-50.1,350.0,999,2TEB,,biomass_ag_C,NAC,NAC,Brazil,NAC,South America,Neotropics,Tropical rainforest
Harvard Forest-Prospect Hill,42.53,-72.18,181.0,230,2TEN,,biomass_ag_C,NAC,Massachusetts,USA,Typic Dystrochrept,North America,Nearctic,Temperate mountain system
SETRES,34.63,-79.2,11.52,12,2TEN,,biomass_ag_C,NAC,North Carolina,USA,Psammentic Hapludult,North America,Nearctic,Subtropical humid forest
SETRES,34.63,-79.2,13.44,12,2TEN,,biomass_ag_C,NAC,North Carolina,USA,Psammentic Hapludult,North America,Nearctic,Subtropical humid forest
SETRES,34.63,-79.2,21.7,12,2TEN,,biomass_ag_C,NAC,North Carolina,USA,Psammentic Hapludult,North America,Nearctic,Subtropical humid forest
SETRES,34.63,-79.2,24.75,12,2TEN,,biomass_ag_C,NAC,North Carolina,USA,Psammentic Hapludult,North America,Nearctic,Subtropical humid forest
Roccarespampani,42.4,11.92,0.16,40,2TDB,,biomass_ag_C,NAC,Viterbo,Italy,Volcanic luvisol,Europe,Palearctic,Subtropical dry forest
Yakutsk-IFS,62.22,129.17,0.62,NAC,2TDN,,biomass_ag_C,NAC,NAC,Russia,Sandy/loamy Spodosols,Asia,Palearctic,Boreal coniferous forest
Yakutsk-IFL,62.3,129.5,0.5,NAC,2TDN,,biomass_ag_C,NAC,NAC,Russia,Sandy/loamy Spodosols,Asia,Palearctic,Boreal coniferous forest
Yakutsk-SFS,62.22,129.17,0.33,NAC,2TDB,,biomass_ag_C,NAC,NAC,Russia,Sandy/loamy Spodosols,Asia,Palearctic,Boreal coniferous forest
Yakutsk-SFL,62.3,129.5,0.38,NAC,2TDB,,biomass_ag_C,NAC,NAC,Russia,Sandy/loamy Spodosols,Asia,Palearctic,Boreal coniferous forest
Changbai Mountain,42.4,128.1,143.6,NAC,2TEN,,biomass_ag_C,NAC,NAC,China,Mollisol,Asia,Palearctic,Temperate continental forest
Amida-cedar,34.42,132.5,107.0,10,2TEN,,biomass_ag_C,NAC,NAC,Japan,NAC,Asia,Palearctic,Subtropical humid forest
Tyler,30.6,-94.4,76.7,26,2TEN,,biomass_ag_C,NAC,Texas,USA,Oxyaquic Paleudults,North America,Nearctic,Subtropical humid forest
Aleza Lake Research Forest,54.02,-122.12,0.4,0,2TEN,,biomass_ag_C,NAC,British Columbia,Canada,Ortho luvic gleysols,North America,Nearctic,Temperate mountain system
Aleza Lake Research Forest,54.02,-122.12,5.6,2,2TEN,,biomass_ag_C,NAC,British Columbia,Canada,Ortho luvic gleysols,North America,Nearctic,Temperate mountain system
Aleza Lake Research Forest,54.02,-122.12,4.2,3,2TEN,,biomass_ag_C,NAC,British Columbia,Canada,Ortho luvic gleysols,North America,Nearctic,Temperate mountain system
Aleza Lake Research Forest,54.02,-122.12,4.65,5,2TEN,,biomass_ag_C,NAC,British Columbia,Canada,Ortho luvic gleysols,North America,Nearctic,Temperate mountain system
Aleza Lake Research Forest,54.02,-122.12,4.65,6,2TEN,,biomass_ag_C,NAC,British Columbia,Canada,Ortho luvic gleysols,North America,Nearctic,Temperate mountain system
Aleza Lake Research Forest,54.02,-122.12,4.7,9,2TEN,,biomass_ag_C,NAC,British Columbia,Canada,Ortho luvic gleysols,North America,Nearctic,Temperate mountain system
Aleza Lake Research Forest,54.02,-122.12,4.6,10,2TEN,,biomass_ag_C,NAC,British Columbia,Canada,Ortho luvic gleysols,North America,Nearctic,Temperate mountain system
Deadman's Wash,35.43,-111.62,21.0,165,2TEN,,biomass_ag_C,NAC,Arizona,USA,Aridic Argiustolls; Typic Argiborolls,North America,Nearctic,Subtropical mountain system
Deadman's Wash,35.43,-111.62,24.0,NAC,2TEN,,biomass_ag_C,NAC,Arizona,USA,Aridic Argiustolls; Typic Argiborolls,North America,Nearctic,Subtropical mountain system
Deadman's Wash,35.43,-111.62,29.0,250,2TEN,,biomass_ag_C,NAC,Arizona,USA,Aridic Argiustolls; Typic Argiborolls,North America,Nearctic,Subtropical mountain system
Campbell River,49.85,-125.32,190.0,55,2TEN,,biomass_ag_C,NAC,British Columbia,Canada,Humo-ferric Podzol,North America,Nearctic,Temperate oceanic forest
Beijing Forest Ecosystem Research Station,39.97,115.43,1.5,NAC,2TDB,,biomass_ag_C,NAC,NAC,China,Brown earth,Asia,Palearctic,Temperate mountain system
H.J. Andrews,44.0,-122.5,335.79,450,2TEN,,biomass_ag_C,Blue River,Oregon,USA,Typic Dystrochrept,North America,Nearctic,Temperate mountain system
H.J. Andrews,44.0,-122.5,491.26,450,2TEN,,biomass_ag_C,Blue River,Oregon,USA,Typic Dystrochrept,North America,Nearctic,Temperate mountain system
H.J. Andrews,44.0,-122.5,250.22,450,2TEN,,biomass_ag_C,Blue River,Oregon,USA,Typic Dystrochrept,North America,Nearctic,Temperate mountain system
H.J. Andrews,44.0,-122.5,406.61,450,2TEN,,biomass_ag_C,Blue River,Oregon,USA,Typic Dystrochrept,North America,Nearctic,Temperate mountain system
H.J. Andrews,44.0,-122.5,282.38,450,2TEN,,biomass_ag_C,Blue River,Oregon,USA,Typic Dystrochrept,North America,Nearctic,Temperate mountain system
Mount Norikura,36.13,137.43,44.0,30,2TDB,,biomass_ag_C,NAC,NAC,Japan,NAC,Asia,Palearctic,Temperate mountain system
Eyerly-609,44.6,-121.53,8.34,2,2TEN,,biomass_ag_C,NAC,Oregon,USA,NAC,North America,Nearctic,Temperate mountain system
Eyerly-611,44.58,-121.54,31.72,2,2TEN,,biomass_ag_C,NAC,Oregon,USA,NAC,North America,Nearctic,Temperate mountain system
Eyerly-604,44.56,-121.5,19.46,2,2TEN,,biomass_ag_C,NAC,Oregon,USA,NAC,North America,Nearctic,Temperate mountain system
Eyerly-601,44.56,-121.5,4.67,2,2TEN,,biomass_ag_C,NAC,Oregon,USA,NAC,North America,Nearctic,Temperate mountain system
Eyerly-607,44.57,-121.54,43.6,2,2TEN,,biomass_ag_C,NAC,Oregon,USA,NAC,North America,Nearctic,Temperate mountain system
Eyerly-610,44.57,-121.53,128.74,2,2TEN,,biomass_ag_C,NAC,Oregon,USA,NAC,North America,Nearctic,Temperate mountain system
Eyerly-608,44.6,-121.53,0.21,2,2TEN,,biomass_ag_C,NAC,Oregon,USA,NAC,North America,Nearctic,Temperate mountain system
Eyerly-602,44.58,-121.51,3.55,2,2TEN,,biomass_ag_C,NAC,Oregon,USA,NAC,North America,Nearctic,Temperate mountain system
Eyerly-612,44.59,-121.53,16.09,2,2TEN,,biomass_ag_C,NAC,Oregon,USA,NAC,North America,Nearctic,Temperate mountain system
Eyerly-605,44.57,-121.52,0.86,2,2TEN,,biomass_ag_C,NAC,Oregon,USA,NAC,North America,Nearctic,Temperate mountain system
Eyerly-603,44.58,-121.5,6.17,2,2TEN,,biomass_ag_C,NAC,Oregon,USA,NAC,North America,Nearctic,Temperate mountain system
Eyerly-606,44.58,-121.51,1.32,2,2TEN,,biomass_ag_C,NAC,Oregon,USA,NAC,North America,Nearctic,Temperate mountain system
University of Alaska-Fairbanks,64.87,-147.85,2.71,NAC,2TEN,,biomass_ag_C,NAC,Alaska,USA,Organic,North America,Nearctic,Boreal tundra woodland
De Inslag Forest,51.31,4.52,99.0,70,2TDB,,biomass_ag_C,NAC,NAC,Belgium,Umbric regosol,Europe,Palearctic,Temperate oceanic forest
De Inslag Forest,51.31,4.52,104.0,70,2TD,,biomass_ag_C,NAC,NAC,Belgium,Umbric regosol,Europe,Palearctic,Temperate oceanic forest
De Inslag Forest,51.31,4.52,105.0,70,2TDB,,biomass_ag_C,NAC,NAC,Belgium,Umbric regosol,Europe,Palearctic,Temperate oceanic forest
De Inslag Forest,51.31,4.52,97.0,70,2TEN,,biomass_ag_C,NAC,NAC,Belgium,Umbric regosol,Europe,Palearctic,Temperate oceanic forest
De Inslag Forest,51.31,4.52,102.0,70,2TEN,,biomass_ag_C,NAC,NAC,Belgium,Umbric regosol,Europe,Palearctic,Temperate oceanic forest
De Inslag Forest,51.31,4.52,102.0,70,2TEN,,biomass_ag_C,NAC,NAC,Belgium,Umbric regosol,Europe,Palearctic,Temperate oceanic forest
De Inslag Forest,51.31,4.52,71.95,74,2TEN,,biomass_ag_C,NAC,NAC,Belgium,Umbric regosol,Europe,Palearctic,Temperate oceanic forest
De Inslag Forest,51.31,4.52,75.75,67,2TDB,,biomass_ag_C,NAC,NAC,Belgium,Umbric regosol,Europe,Palearctic,Temperate oceanic forest
De Inslag Forest,51.31,4.52,75.75,67,2TDB,,biomass_ag_C,NAC,NAC,Belgium,Umbric regosol,Europe,Palearctic,Temperate oceanic forest
De Inslag Forest,51.31,4.52,75.75,67,2TDB,,biomass_ag_C,NAC,NAC,Belgium,Umbric regosol,Europe,Palearctic,Temperate oceanic forest
De Inslag Forest,51.31,4.52,75.75,67,2TDB,,biomass_ag_C,NAC,NAC,Belgium,Umbric regosol,Europe,Palearctic,Temperate oceanic forest
De Inslag Forest,51.31,4.52,71.95,74,2TEN,,biomass_ag_C,NAC,NAC,Belgium,Umbric regosol,Europe,Palearctic,Temperate oceanic forest
De Inslag Forest,51.31,4.52,71.95,74,2TEN,,biomass_ag_C,NAC,NAC,Belgium,Umbric regosol,Europe,Palearctic,Temperate oceanic forest
De Inslag Forest,51.31,4.52,71.95,74,2TEN,,biomass_ag_C,NAC,NAC,Belgium,Umbric regosol,Europe,Palearctic,Temperate oceanic forest
De Inslag Forest,51.31,4.52,71.95,74,2TEN,,biomass_ag_C,NAC,NAC,Belgium,Umbric regosol,Europe,Palearctic,Temperate oceanic forest
De Inslag Forest,51.31,4.52,71.95,74,2TEN,,biomass_ag_C,NAC,NAC,Belgium,Umbric regosol,Europe,Palearctic,Temperate oceanic forest
Great Smoky NP,35.57,-83.48,155.5,999,2TEN,,biomass_ag_C,NAC,North Carolina,USA,Silt loam / sandy loam inceptisols,North America,Nearctic,Temperate mountain system
Great Smoky NP,35.57,-83.48,169.7,999,2TEN,,biomass_ag_C,NAC,North Carolina,USA,Silt loam / sandy loam inceptisols,North America,Nearctic,Temperate mountain system
Great Smoky NP,35.57,-83.48,142.1,999,2TEN,,biomass_ag_C,NAC,North Carolina,USA,Silt loam / sandy loam inceptisols,North America,Nearctic,Temperate mountain system
Great Smoky NP,35.57,-83.48,166.6,999,2TEN,,biomass_ag_C,NAC,North Carolina,USA,Silt loam / sandy loam inceptisols,North America,Nearctic,Temperate mountain system
University Forest,44.92,-68.68,79.2,55,2TEN,,biomass_ag_C,NAC,Maine,USA,Sandy/silt loams,North America,Nearctic,Temperate continental forest
Lavigne-cool,47.32,-71.1,88.7,65,2TEN,,biomass_ag_C,NAC,NAC,Canada,Sandy loam,North America,Nearctic,Temperate continental forest
Lavigne-midtransect,47.73,-68.15,73.2,55,2TEN,,biomass_ag_C,NAC,NAC,Canada,Sandy loam,North America,Nearctic,Temperate continental forest
Lavigne-warm,46.03,-66.38,56.0,45,2TEN,,biomass_ag_C,NAC,NAC,Canada,Sandy loam,North America,Nearctic,Temperate continental forest
BOREAS-SSA,53.85,-104.63,0.0,0,2TEN,,biomass_ag_C,NAC,Saskatchewan,Canada,Brunisols,North America,Nearctic,Boreal coniferous forest
BOREAS-SSA,53.85,-104.63,0.6,5,2TEN,,biomass_ag_C,NAC,Saskatchewan,Canada,Brunisols,North America,Nearctic,Boreal coniferous forest
BOREAS-SSA,53.85,-104.63,3.6,10,2TEN,,biomass_ag_C,NAC,Saskatchewan,Canada,Brunisols,North America,Nearctic,Boreal coniferous forest
BOREAS-SSA,53.85,-104.63,19.3,29,2TEN,,biomass_ag_C,NAC,Saskatchewan,Canada,Brunisols,North America,Nearctic,Boreal coniferous forest
BOREAS-SSA,53.85,-104.63,31.9,79,2TEN,,biomass_ag_C,NAC,Saskatchewan,Canada,Brunisols,North America,Nearctic,Boreal coniferous forest
Conasauga River,34.91,-84.67,30.98,NAC,2TDB,,biomass_ag_C,NAC,Tennessee/Georgia,USA,Sandy loam,North America,Nearctic,Temperate mountain system
Conasauga River,34.91,-84.67,27.45,NAC,2TDB,,biomass_ag_C,NAC,Tennessee/Georgia,USA,Sandy loam,North America,Nearctic,Temperate mountain system
Entre-Rios,-11.97,-38.12,0.65,5,2TEB,,biomass_ag_C,NAC,NAC,Brazil,NAC,South America,Neotropics,Tropical rainforest
Entre-Rios,-11.97,-38.12,0.79,6.5,2TEB,,biomass_ag_C,NAC,NAC,Brazil,NAC,South America,Neotropics,Tropical rainforest
Kondi,-4.35,11.75,0.0,1,2TDB,,biomass_ag_C,NAC,NAC,Congo,Arenosol (sandy),Africa,Afrotropics,Tropical dry forest
Kondi,-4.35,11.75,21.45,1,2TDB,,biomass_ag_C,NAC,NAC,Congo,Arenosol (sandy),Africa,Afrotropics,Tropical dry forest
Kondi,-4.35,11.75,0.0,1,2TDB,,biomass_ag_C,NAC,NAC,Congo,Arenosol (sandy),Africa,Afrotropics,Tropical dry forest
Kondi,-4.35,11.75,21.45,1,2TDB,,biomass_ag_C,NAC,NAC,Congo,Arenosol (sandy),Africa,Afrotropics,Tropical dry forest
DF49,49.87,-125.33,0.08,53,2TEN,,biomass_ag_C,NAC,British Columbia,Canada,Gravelly sandy loam,North America,Nearctic,Temperate oceanic forest
HDF88,49.52,-124.9,0.01,18,2TEN,,biomass_ag_C,NAC,British Columbia,Canada,Gravelly loam,North America,Nearctic,Temperate oceanic forest
HDF00,49.87,-125.28,0.0,3,2TEN,,biomass_ag_C,NAC,British Columbia,Canada,Gravelly loamy sand,North America,Nearctic,Temperate oceanic forest
Chi-Lan Mountain,24.58,121.42,43.8,35,2TEN,,biomass_ag_C,NAC,NAC,Taiwan,Lithic leptosol,Asia,IndoMalay,Subtropical humid forest
Lambir Hills National Park,4.2,114.03,272.4,999,2TEB,,biomass_ag_C,NAC,NAC,Malaysia,Ultisol,Asia,IndoMalay,Tropical rainforest
British Columbia Fluxnet Canada,49.85,-125.32,190.0,55,2TEN,,biomass_ag_C,NAC,British Columbia,Canada,Humoferric podzol,North America,Nearctic,Temperate oceanic forest
BOREAS NSA-CBS,55.91,-98.42,14.37,80,2TEN,,biomass_ag_C,NAC,Manitoba,Canada,Orthic gray luvisols (sandy clay loam),North America,Nearctic,Boreal coniferous forest
BOREAS NSA-CJP,55.91,-98.42,20.09,80,2TEN,,biomass_ag_C,NAC,Manitoba,Canada,Sandy loam,North America,Nearctic,Boreal coniferous forest
Helsinki University Forestry Station,61.8,24.32,68.5,100,2TEN,,biomass_ag_C,NAC,NAC,Finland,Podzol,Europe,Palearctic,Boreal coniferous forest
Helsinki University Forestry Station,61.8,24.32,75.5,100,2TEN,,biomass_ag_C,NAC,NAC,Finland,Podzol,Europe,Palearctic,Boreal coniferous forest
Helsinki University Forestry Station,61.8,24.32,81.5,100,2TEN,,biomass_ag_C,NAC,NAC,Finland,Podzol,Europe,Palearctic,Boreal coniferous forest
Bornhoved Lake District,54.0,10.23,97.25,55,2TDB,,biomass_ag_C,NAC,NAC,Germany,Dystric Histosol,Europe,Palearctic,Temperate oceanic forest
SAVAFLUX-S1,9.0,-64.0,4.22,NRA,2TDB,,biomass_ag_C,NAC,NAC,Venezuela,NAC,South America,Neotropics,Tropical moist forest
SAVAFLUX-S2,9.0,-64.0,0.8,NRA,2TDB,,biomass_ag_C,NAC,NAC,Venezuela,NAC,South America,Neotropics,Tropical moist forest
SAVAFLUX-S3,9.0,-64.0,2.65,NRA,2TDB,,biomass_ag_C,NAC,NAC,Venezuela,NAC,South America,Neotropics,Tropical moist forest
SAVAFLUX-S4,9.0,-64.0,10.43,28,2TDB,,biomass_ag_C,NAC,NAC,Venezuela,NAC,South America,Neotropics,Tropical moist forest
Hyytiala Forestry Station,61.78,24.3,75.0,130,2TEN,,biomass_ag_C,NAC,NAC,Finland,Haplic podzol,Europe,Palearctic,Boreal coniferous forest
Kissoko,-4.74,12.02,41.0,7,2TD,,biomass_ag_C,NAC,NAC,Congo,Ferralic arenosol,Africa,Afrotropics,Tropical dry forest
Kissoko,-4.74,12.02,39.4,7,2TDB,,biomass_ag_C,NAC,NAC,Congo,Ferralic arenosol,Africa,Afrotropics,Tropical dry forest
Kissoko,-4.74,12.02,52.2,7,2TDB,,biomass_ag_C,NAC,NAC,Congo,Ferralic arenosol,Africa,Afrotropics,Tropical dry forest
Gjovik,60.8,10.48,28.4,55,2TEN,,biomass_ag_C,NAC,NAC,Norway,Spodosols (Typic Haplorthods),Europe,Palearctic,Boreal coniferous forest
Gjovik,60.8,10.48,29.95,55,2TEN,,biomass_ag_C,NAC,NAC,Norway,Spodosols (Typic Haplorthods),Europe,Palearctic,Boreal coniferous forest
Gjovik,60.8,10.48,37.85,55,2TEN,,biomass_ag_C,NAC,NAC,Norway,Spodosols (Typic Haplorthods),Europe,Palearctic,Boreal coniferous forest
Hilo,19.84,-155.12,37.0,6,2TEB,,biomass_ag_C,NAC,Hawaii,USA,Typic Hydrudands,Oceania,Oceania,Tropical mountain system
Nodebo,55.0,12.0,4.2,23,2TDB,,biomass_ag_C,NAC,Zealand,Denmark,Sandy moraine (Typic Udorthents),Europe,Palearctic,Temperate oceanic forest
Hubbard Brook-W6,43.93,-71.75,94.95,85,2TDB,,biomass_ag_C,NAC,New Hampshire,USA,Spodosols (Typic Haplorthods),North America,Nearctic,Temperate mountain system
Duke Forest,35.97,-79.1,108.0,17,2TEN,,biomass_ag_C,NAC,North Carolina,USA,NAC,North America,Nearctic,Subtropical humid forest
Duke Forest,35.97,-79.1,141.0,NAC,2TDB,,biomass_ag_C,NAC,North Carolina,USA,NAC,North America,Nearctic,Subtropical humid forest
Xinkou Experimental Forestry Centre-Xiaohu,26.19,117.43,261.74,150,2TEB,,biomass_ag_C,NAC,NAC,China,NAC,Asia,IndoMalay,Subtropical humid forest
Xinkou Experimental Forestry Centre-Xiaohu,26.19,117.43,190.49,150,2TEB,,biomass_ag_C,NAC,NAC,China,NAC,Asia,IndoMalay,Subtropical humid forest
Xinkou Experimental Forestry Centre-Xiaohu,26.19,117.43,120.94,150,2TEN,,biomass_ag_C,NAC,NAC,China,NAC,Asia,IndoMalay,Subtropical humid forest
GSMNP-Noland Divide Watershed,35.57,-83.48,139.7,999,2TEN,,biomass_ag_C,NAC,Tennessee,USA,Silt/sandy loam (Inceptisols),North America,Nearctic,Temperate mountain system
Weber River,41.33,-112.0,6.42,NI,2TDB,,biomass_ag_C,NAC,Utah,USA,NAC,North America,Nearctic,Temperate desert
Weber River,41.33,-112.0,4.41,NI,2TDB,,biomass_ag_C,NAC,Utah,USA,NAC,North America,Nearctic,Temperate desert
Weber River,41.33,-112.0,6.61,NI,2TDB,,biomass_ag_C,NAC,Utah,USA,NAC,North America,Nearctic,Temperate desert
S1-Casteller,46.02,11.14,42.0,44,2TDB,,biomass_ag_C,NAC,NAC,Italy,Calcaric Phaeozem,Europe,Palearctic,Temperate oceanic forest
S2-Toblino,46.06,10.98,77.0,45,2TDB,,biomass_ag_C,NAC,NAC,Italy,Leptic Calcaric,Europe,Palearctic,Temperate mountain system
S3-Mattarello,46.02,11.15,44.0,44,2TEN,,biomass_ag_C,NAC,NAC,Italy,Calcaric Phaeozem,Europe,Palearctic,Temperate oceanic forest
S4-Lagolo P,46.03,11.0,80.0,69,2TEN,,biomass_ag_C,NAC,NAC,Italy,Calcaric Phaeozem,Europe,Palearctic,Temperate mountain system
S5-Lagolo B,46.04,11.01,63.0,61,2TDB,,biomass_ag_C,NAC,NAC,Italy,Calcaric Cambisol,Europe,Palearctic,Temperate mountain system
S6-Brigolina B,46.07,11.08,75.0,50,2TDB,,biomass_ag_C,NAC,NAC,Italy,Calcaric Cambisol,Europe,Palearctic,Temperate oceanic forest
S7-Brigolina S,46.06,11.07,159.0,50,2TEN,,biomass_ag_C,NAC,NAC,Italy,Calcaric Cambisol,Europe,Palearctic,Temperate oceanic forest
S8-Vaneze,46.05,11.06,119.0,60,2TEN,,biomass_ag_C,NAC,NAC,Italy,Calcaric Skeletic,Europe,Palearctic,Temperate oceanic forest
S9-Lavaronne,45.96,11.28,119.0,120,2TEN,,biomass_ag_C,NAC,NAC,Italy,Calcaric Cambisol,Europe,Palearctic,Temperate mountain system
S10-Bondone,46.02,11.06,46.0,60,2TDB,,biomass_ag_C,NAC,NAC,Italy,Calcaric Phaeozem,Europe,Palearctic,Temperate oceanic forest
S11-Renon,46.59,11.43,54.0,180,2TEN,,biomass_ag_C,NAC,NAC,Italy,Podzol,Europe,Palearctic,Temperate mountain system
Coweeta Hydrologic Laboratory,35.08,-83.43,37.6,20,2TDB,,biomass_ag_C,NAC,North Carolina,USA,NAC,North America,Nearctic,Temperate mountain system
Coweeta Hydrologic Laboratory,35.08,-83.43,112.35,85,2TDB,,biomass_ag_C,NAC,North Carolina,USA,NAC,North America,Nearctic,Temperate mountain system
Joyce Kilmer-Slickrock Wilderness,35.35,-83.93,225.5,85,2TD,,biomass_ag_C,NAC,North Carolina,USA,NAC,North America,Nearctic,Temperate mountain system
Mt. Takao,34.4,132.52,56.2,40,2TEN,,biomass_ag_C,NAC,Hiroshima,Japan,Sandy loam,Asia,Palearctic,Subtropical humid forest
Mt. Takao,34.4,132.52,76.9,80,2TEN,,biomass_ag_C,NAC,Hiroshima,Japan,Sandy loam,Asia,Palearctic,Subtropical humid forest
Kenkeme-S200,62.22,129.17,50.66,200,2TDN,,biomass_ag_C,NAC,NAC,Russia,Sandy,Asia,Palearctic,Boreal coniferous forest
Kenkeme-S5,62.22,129.17,0.3,5,2TD,,biomass_ag_C,NAC,NAC,Russia,Sandy,Asia,Palearctic,Boreal coniferous forest
Kenkeme-S25,62.22,129.17,9.96,22,2TDN,,biomass_ag_C,NAC,NAC,Russia,Sandy,Asia,Palearctic,Boreal coniferous forest
Neleger-L200,62.3,129.5,52.72,170,2TDN,,biomass_ag_C,NAC,NAC,Russia,Loamy,Asia,Palearctic,Boreal coniferous forest
Neleger-L5,62.2,129.1,0.34,5,2TD,,biomass_ag_C,NAC,NAC,Russia,Loamy,Asia,Palearctic,Boreal coniferous forest
University of Michigan Biological Station-HIFE,45.55,-84.7,26.0,80,2TDB,,biomass_ag_C,NAC,Michigan,USA,Alfic Haplorthod,North America,Nearctic,Temperate continental forest
University of Michigan Biological Station-HIFE,45.55,-84.7,26.0,11,2TDB,,biomass_ag_C,NAC,Michigan,USA,Alfic Haplorthod,North America,Nearctic,Temperate continental forest
University of Michigan Biological Station-HIFE,45.55,-84.7,26.0,11,2TDB,,biomass_ag_C,NAC,Michigan,USA,Alfic Haplorthod,North America,Nearctic,Temperate continental forest
University of Michigan Biological Station-GRTR,45.55,-84.7,45.0,80,2TDB,,biomass_ag_C,NAC,Michigan,USA,Entic Haplorthod,North America,Nearctic,Temperate continental forest
University of Michigan Biological Station-GRTR,45.55,-84.7,45.0,70,2TDB,,biomass_ag_C,NAC,Michigan,USA,Entic Haplorthod,North America,Nearctic,Temperate continental forest
University of Michigan Biological Station-GRTR,45.55,-84.7,45.0,70,2TDB,,biomass_ag_C,NAC,Michigan,USA,Entic Haplorthod,North America,Nearctic,Temperate continental forest
University of Michigan Biological Station-GRTR,45.55,-84.7,45.0,70,2TDB,,biomass_ag_C,NAC,Michigan,USA,Entic Haplorthod,North America,Nearctic,Temperate continental forest
University of Michigan Biological Station-UPGR,45.55,-84.7,40.0,80,2TDB,,biomass_ag_C,NAC,Michigan,USA,Entic Haplorthod,North America,Nearctic,Temperate continental forest
University of Michigan Biological Station-UPGR,45.55,-84.7,40.0,70,2TDB,,biomass_ag_C,NAC,Michigan,USA,Entic Haplorthod,North America,Nearctic,Temperate continental forest
University of Michigan Biological Station-UPGR,45.55,-84.7,40.0,70,2TDB,,biomass_ag_C,NAC,Michigan,USA,Entic Haplorthod,North America,Nearctic,Temperate continental forest
University of Michigan Biological Station-UPGR,45.55,-84.7,40.0,70,2TDB,,biomass_ag_C,NAC,Michigan,USA,Entic Haplorthod,North America,Nearctic,Temperate continental forest
University of Michigan Biological Station-54BURN,45.55,-84.7,20.0,80,2TDB,,biomass_ag_C,NAC,Michigan,USA,Entic Haplorthod,North America,Nearctic,Temperate continental forest
University of Michigan Biological Station-54BURN,45.55,-84.7,20.0,29,2TDB,,biomass_ag_C,NAC,Michigan,USA,Entic Haplorthod,North America,Nearctic,Temperate continental forest
University of Michigan Biological Station-54BURN,45.55,-84.7,20.0,29,2TDB,,biomass_ag_C,NAC,Michigan,USA,Entic Haplorthod,North America,Nearctic,Temperate continental forest
University of Michigan Biological Station-LOFE,45.55,-84.7,7.0,80,2TDB,,biomass_ag_C,NAC,Michigan,USA,Entic Haplorthod,North America,Nearctic,Temperate continental forest
University of Michigan Biological Station-LOFE,45.55,-84.7,7.0,11,2TDB,,biomass_ag_C,NAC,Michigan,USA,Entic Haplorthod,North America,Nearctic,Temperate continental forest
University of Michigan Biological Station-LOFE,45.55,-84.7,7.0,11,2TDB,,biomass_ag_C,NAC,Michigan,USA,Entic Haplorthod,North America,Nearctic,Temperate continental forest
Kyoto,35.02,135.79,115.0,NRA,2TDB,,biomass_ag_C,NAC,Kyoto,Japan,Typic Dystrudept,Asia,Palearctic,Subtropical humid forest
Miyazu-Oak,35.63,135.17,104.0,NRA,2TD,,biomass_ag_C,NAC,Kyoto,Japan,Alic Hapludand,Asia,Palearctic,Subtropical humid forest
Miyazu-Cedar,35.62,135.18,184.0,NRA,2TDN,,biomass_ag_C,NAC,Kyoto,Japan,Dystrudept,Asia,Palearctic,Subtropical humid forest
Miyazu-Beech,35.62,135.18,83.0,NRA,2TDB,,biomass_ag_C,NAC,Kyoto,Japan,Andic Haplohumod,Asia,Palearctic,Subtropical humid forest
Nobeyama,35.96,138.47,78.0,NRA,2TDB,,biomass_ag_C,NAC,Nagano,Japan,Acrudoxic Malenudand,Asia,Palearctic,Temperate mountain system
Sambong Exhibition Forests,35.46,127.64,42.95,36,2TDN,,biomass_ag_C,NAC,NAC,South Korea,Silt loam,Asia,Palearctic,Temperate continental forest
Sambong Exhibition Forests,35.46,127.64,37.85,36,2TDN,,biomass_ag_C,NAC,NAC,South Korea,Silt loam,Asia,Palearctic,Temperate continental forest
